"id","claim","status","evidence","scope_or_condition","article_action"
"R63-C01","Éventail relatif 5D lisse cohérent projectif et propre sur A1","PROVED","R62 + deux implémentations exactes R63 + Qhull","Phase résolue POLY944 fixée","KEEP"
"R63-C02","Support sigma5 de 69 monômes de classe anticanonique","PROVED","R62 et audits monomiaux indépendants","Sous-famille sigma5 uniquement","KEEP"
"R63-C03","Espace total générique lisse et fibre centrale réduite SNC à deux composantes","PROVED_GENERIC","Bertini + jet unité + témoins Gröbner + cartes t=u,v,uv","Ouvert de Zariski non vide; c non nul; petit disque","KEEP_WITH_HYPOTHESES"
"R63-C04","Couture S lisse connexe avec h(O_S)=(1,0,1) et K_S trivial","PROVED_GENERIC","Suite anticanonique sur le trois-fold torique T + Serre","Membre lisse","KEEP"
"R63-C05","S est anticanonique dans Y_p et Y_m","PROVED","Adjonction et diviseur principal t=pm","Équivalence de diviseurs / isomorphisme de fibrés","KEEP"
"R63-C06","h(O_Yp)=h(O_Ym)=(1,0,0,0)","PROVED_TWICE","Suites exactes + Serre; audit EMS poids par poids","Fans quotients complets lisses","KEEP_AS_KEY_LEMMA"
"R63-C07","Y_p et Y_m sont quasi-Fano au sens DHT","PROVED_GENERIC","C04-C06","Définition DHT; pas synonyme de weak Fano","KEEP"
"R63-C08","Y_p et Y_m sont weak Fano","DISPROVED","-K est semi-ample nef mais son cube vaut zéro","Convention weak Fano exigeant big","REMOVE"
"R63-C09","N_{S/Yp} et N_{S/Ym} sont individuellement triviaux","PROVED","Caractères primitifs vers P1 + transversalité","Famille R62 générique","KEEP"
"R63-C10","D-semistabilité et log-lissité saturée","PROVED","Produit des normales + monoïde 1 vers (1,1)","Petit disque autour de t=0","KEEP"
"R63-C11","Canonique relatif et logarithmique trivial","PROVED","Classe anticanonique + adjonction relative","Base disque de canonique trivial","KEEP"
"R63-C12","La famille est une dégénérescence de Tyurin stricte","PROVED_GENERIC","C01-C11","Sens Doran-Harder-Thompson","KEEP_AS_MAIN_THEOREM"
"R63-C13","NS(S)=U(2) et rang de restriction r=2","PROVED_VERY_GENERAL","Double couverture (4,4) + restriction primitive","Couture très générale hors Noether-Lefschetz","KEEP_WITH_VERY_GENERAL"
"R63-C14","LMHS rationnelle/complexe de type II_18 avec GrW=(20,132,20)","PROVED_VERY_GENERAL","Complexe de poids et Clemens-Schmid avec r=2 et h=(5,85)","Très général; coefficients rationnels ou complexes","KEEP"
"R63-C15","N^2=0 et rang N=20 sur H3 rationnel","PROVED_VERY_GENERAL","C14 et propriété de la filtration de monodromie","Très général","KEEP"
"R63-C16","Le morphisme gradué K3 a SNF non nulle (1^18,2,2)","PROVED_LATTICE","Complément de U(2) dans le réseau K3","Morphisme canonique gradué uniquement","KEEP_AS_SEPARATE_LEMMA"
"R63-C17","La Gauss-Manin intégrale complète a SNF (1^18,2,2,0^152)","OPEN","R61 construit seulement une matrice compatible","Nécessite cycles proches intégraux ou périodes","DO_NOT_CLAIM"
"R63-C18","Le scan O3/O7 exclut toute tour dans toute réalisation","FALSE_SCOPE","R62 ne teste que l'ansatz diagonal Cox et six hypothèses","Ne pas universaliser le stop-test","DO_NOT_CLAIM"
"R63-C19","Le modèle fixe une longueur physique R(t)","OPEN","Aucune métrique Ricci-plate normalisée ni observable spectrale","Le paramètre démontré est t=pm","DO_NOT_CLAIM"
"R63-C20","Le modèle prédit R=8.2 micromètres","NOT_DERIVED","Aucun calcul d'échelle physique","Valeur possible seulement comme benchmark externe","DO_NOT_CLAIM"
"R63-C21","Une tour KK ou D3-BPS infinie et stable est démontrée","NOT_DERIVED","LMHS et tube ne suffisent pas","Indices BPS ou spectre requis","DO_NOT_CLAIM"
"R63-C22","Le plan de Fano organise déjà sept charges physiques","DEFERRED","Aucune identification physique démontrée","Étape ultérieure","DO_NOT_CLAIM_IN_ARTICLE_1"
"R63-C23","La construction exacte POLY944/sigma5 est nouvelle","PLAUSIBLE_NOT_PROVED","Aucun résultat indexé identique trouvé","Recherche intrinsèque GL(4,Z), bases de tops et expertise externe requises","USE_TO_OUR_KNOWLEDGE_ONLY_AFTER_CHECK"
"R63-C24","Le dossier est prêt pour dépôt immédiat","NO_GO","Manuscrit intégré et contrôle d'originalité intrinsèque absents","R63 est une porte de recherche complète, pas encore l'article final","CONTINUE_DEVELOPMENT"

