"revision","branche","statut","acquis","faille_decisive","action_suivante"
"R1","eigenmode d'Airy","réfuté","Les branches Neumann et Dirichlet sont numériquement reproductibles.","Le quadruplet entrelacé concatène deux opérateurs et n'est pas la tour d'un scalaire unique.","Choisir une tour KK unique ou ouvrir explicitement un nouveau modèle à deux secteurs."
"R2","réduction 5D vers 4D","conditionnel","La relation de Planck donne M5 à partir de la longueur choisie.","La valeur R égale 8,2 micromètres est une entrée et non une sortie.","Traiter R comme un module dynamique à stabiliser."
"R3","architecture minimale","conditionnel","Une EFT sur intervalle avec deux parois est clairement définie.","Cette architecture est un ansatz et non une dérivation fondamentale.","Conserver l'intervalle comme laboratoire de modèle."
"R4","origine des échelles","partiellement réfuté","Les relations dimensionnelles relient conditionnellement les échelles choisies.","Le lien commun entre Casimir, stabilisation, puits, TeV et meV n'est pas dérivé.","Séparer les mécanismes d'échelle avant tout nouveau matching."
"R5","naturalité","réfuté","Les tensions de naturalité sont explicitement quantifiées dans le modèle.","Le tadpole n'est protégé ni à la coupure choisie ni par une SUSY TeV.","Ne plus utiliser la naturalité comme argument de validation."
"R6","EFT et conditions de bord","conditionnel","La variation avec GHY et jonctions peut produire une branche cohérente.","Les coefficients ne viennent pas d'un vide UV et la tour monoscalaire reste incohérente.","Repartir d'une action et d'un domaine auto-adjoint uniques."
"R7","fenêtre nanométrique","conditionnel","Une région nanométrique survivante est annoncée par la carte interne.","Le verdict dépend encore d'une digitisation officielle absente.","Achever la digitisation avant toute exclusion publiable."
"R8","rôle du champ Phi","réfuté dans le modèle minimal","Le poids de bord et sa réduction sont reproductibles pour la branche Neumann.","Le couplage, les occupations et la tour entrelacée nécessaires au mécanisme unifié ne sont pas dérivés.","Redéfinir Phi après le choix d'un spectre physique unique."
"R9","discipline du modèle","démontré comme méthode","La règle interdit les réparations ad hoc et impose un nouvel audit après modification.","Cette discipline ne constitue pas une origine fondamentale de la physique.","Conserver la règle R9 dans toute nouvelle version."
"R10","confrontation à la littérature","non traçable","Aucun certificat autonome R10 n'a été retrouvé.","Les contrôles d'antériorité documentés commencent seulement en R11.","Archiver R10 comme lacune et utiliser le registre R11."
"R11","antériorité du secteur scalaire","démontré puis rétrogradé","Le profil X1 et les classes voisines ont été identifiés dans la littérature.","Le secteur nul et plusieurs méthodes revendiquées étaient déjà publiés.","Limiter la nouveauté candidate à l'identité régulière et au domaine non monotone après recherche élargie."
