lambda_um,alpha95,statut,provenance
5.0,,SLOT,"a remplir par digitisation officielle"
8.0,,SLOT,"a remplir par digitisation officielle"
10.0,,SLOT,"a remplir par digitisation officielle"
15.0,,SLOT,"a remplir par digitisation officielle"
20.0,,SLOT,"a remplir par digitisation officielle"
30.0,,SLOT,"a remplir par digitisation officielle"
38.6,1.00,ANCRE,"point publie (Lee et al. 2020) ; SEUL point ancre"
50.0,,SLOT,"a remplir par digitisation officielle"
70.0,,SLOT,"a remplir par digitisation officielle"
100.0,,SLOT,"a remplir par digitisation officielle"
150.0,,SLOT,"a remplir par digitisation officielle"
200.0,,SLOT,"a remplir par digitisation officielle"
