"id","claim","status","evidence","scope_or_condition","next_action"
"R65-C01","Le protocole et les seuils R65 ont été gelés avant l'exécution réussie","PROVED_WITH_TRACE","Empreintes inchangées de R65_CONFIG.json et R65_PREREGISTRATION.md; incident Nyquist documenté","Le premier run a échoué sur un bug d'aliasing corrigé sans changer les seuils","KEEP"
"R65-C02","Le pipeline récupère les spectres 1D des intervalles Neumann et Dirichlet","PROVED_ON_ANALYTIC_CONTROLS","Erreur L_eff max 1.16e-7; p proche de 2; d_eff proche de 1","Produits séparables sans dimension","KEEP_AS_VALIDATION"
"R65-C03","Le pipeline récupère le cercle et sa multiplicité deux","PROVED_ON_ANALYTIC_CONTROL","Erreur L_eff max 1.84e-6; dix doublets longitudinaux reconnus","Niveaux distincts; produit périodique séparable","KEEP_AS_VALIDATION"
"R65-C04","Les deux discrétisations et trois résolutions satisfont les seuils numériques","PROVED_FOR_PILOT","Richardson max 9.94e-4; désaccord max 7.91e-7; résidu max 2.69e-6","Ne garantit pas une métrique CY non séparable","KEEP"
"R65-C05","Le contrôle transverse est rejeté","PROVED_5_OF_5","Cinq modes transverses parmi les dix premiers; gap 0.09; p=1.296","Rectangle de largeur L/3","KEEP_AS_NEGATIVE_CONTROL"
"R65-C06","Le contrôle Cheeger/tunneling est rejeté","PROVED_4_OF_5","Isolation 177 à 161944 et énergie du col 0.989 à 0.999988 sur quatre points","Opérateur pondéré 1D; seuil global demandait au moins trois points","KEEP_AS_NEGATIVE_CONTROL"
"R65-C07","Le point haltère |t|=0.1 est déjà classé tunneling","FALSE_BY_PREREGISTERED_RULE","Isolation et concentration passent mais le paquet quadratique complet passe encore","Frontière utile du classifieur","KEEP_AS_BOUNDARY"
"R65-C08","La porte du pipeline spectral pilote est franchie","GO_PIPELINE","Trois contrôles positifs acceptés et deux négatifs rejetés pour les raisons gelées","Validation de méthode seulement","CONTINUE_R66"
"R65-C09","La géométrie Tyurin R63 possède une direction métrique longue","NOT_TESTED","Aucune métrique R63 n'entre dans R65","R66 sur plateforme verrouillée","DO_NOT_CLAIM"
"R65-C10","Le Laplacien scalaire pilote est le spectre spin-2 physique","FALSE_SCOPE","R65 utilise des Laplaciens scalaires sans warping","Opérateur spin-2 après fond global","DO_NOT_CLAIM"
"R65-C11","Une tour KK physique stable est démontrée","NOT_DERIVED","Contrôles analytiques seulement; aucune vraie géométrie ni stabilité","R66-R68","DO_NOT_CLAIM"
"R65-C12","R(t) est dérivé","NOT_DERIVED","La règle L(|t|) est un ordonnancement pilote sans dimension","Calcul métrique requis","DO_NOT_CLAIM"
"R65-C13","Une épaisseur micrométrique est prédite","NOT_DERIVED","Aucune unité physique dans R65","Après spectre, normalisation et stabilisation","DO_NOT_CLAIM"
"R65-C14","Le premier STOP périodique était une obstruction physique","FALSE_NUMERICAL_ALIASING","Indice ky au-delà de Nyquist replié sur zéro; correction bornée par le nombre de degrés de liberté","Préenregistrement inchangé","KEEP_AS_AUDIT_TRAIL"
"R65-C15","R66 est autorisé sans verrouiller le modèle et les entrées","FALSE","R65 exige une plateforme unique et un manifeste avant calcul","Ne pas mélanger POLY944 et POLY925","LOCK_PLATFORM_FIRST"
"R65-C16","Le plan de Fano est soutenu par R65","DEFERRED","Aucun réseau de sept charges ni tour physique","Après R66 et identification de charges","DO_NOT_USE"


