"id","branch","claim","status","evidence","publication_use"
"DDFC-001","DDF-G","A strict resolved Tyurin geometry package survives the R63 gate","RETAINED_WITH_SCOPE","reproducibility/R65/R63_REPORT.md and R63_AUDIT_OUTPUT.txt","Paper G core"
"DDFC-002","DDF-G","The resolved polytope itself is new","FALSE","R64 intrinsic Kreuzer-Skarke identification","Remove"
"DDFC-003","DDF-G","The relative phase, sixteen-ODP resolution and restriction package is novel","OPEN","collision search incomplete","Investigate before Paper G"
"DDFC-004","DDF-G","The R63 seam realized by the coefficient subfamily is very general with NS=U(2)","CONDITIONAL_A3","coefficient dominance not closed","State conditionally"
"DDFC-005","DDF-G","The rational LMHS has the declared II_18 structure","RETAINED_UNDER_R63_HYPOTHESES","R63 gate and claim ledger","Paper G with hypotheses"
"DDFC-006","DDF-BPS","Every compatible orientifold forbids every tower","FALSE_SCOPE","R64 concerns one active closed-C4 eigen-tube mechanism","Forbidden"
"DDFC-007","DDF-BPS","The four-case parity-Hodge proposition excludes nonnegative-square active closed-C4 eigentubes","CONDITIONAL_RATIONAL","R64 report and gate","Secondary proposition only"
"DDFC-008","DDF-BPS","The equivariant Clemens tube map is constructed integrally","OPEN","R64 integral gate remains open","Do not claim"
"DDFC-009","DDF-BPS","A parent N=2 BPS tower exists and is stable","OPEN","nonnegative classes alone do not establish states or indices","Future R69"
"DDFC-010","DDF-KK","The scalar spectral classifier recognizes known 1D controls","VALIDATED_ON_CONTROLS","R65 GO; three positive controls","Methods appendix"
"DDFC-011","DDF-KK","The classifier rejects transverse contamination and Cheeger tunneling","VALIDATED_ON_CONTROLS","R65 rejects 5/5 and 4/5","Methods appendix"
"DDFC-012","DDF-KK","The R63 geometry has a long metric neck","NOT_TESTED","no R63 metric in R65","R66"
"DDFC-013","DDF-KK","A physical spin-2 KK tower is derived","NOT_DERIVED","only scalar analytic controls computed","R67 after R66"
"DDFC-014","physical","R(t) is derived from the geometry","NOT_DERIVED","pilot L(t) is dimensionless ordering only","R66-R68"
"DDFC-015","physical","The bulk thickness is 8.2 micrometres","DEPRECATED_NOT_DERIVED","historical target not recovered by corrected chain","Forbidden"
"DDFC-016","physical","A globally consistent N=1 orientifold vacuum is constructed","NOT_DERIVED","fixed loci, branes, tadpoles and flux incomplete","R70"
"DDFC-017","phenomenology","Dark matter or dark energy follows from the corrected compactification","NOT_DERIVED","no complete background or observable map","Separate later project"
"DDFC-018","Fano","Seven physical charges realize a Fano plane","DEFERRED","charges and morphisms absent","Do not use before R66/R69"
"DDFC-019","editorial","The original Articles I-VIII are the current validated DDF theory","DEPRECATED","R1-R65 master audit","Historical citation only"
"DDFC-020","editorial","Any corrected DDF article is ready for immediate submission","FALSE_CURRENT_STATE","Paper G and Paper KK gates remain open","Development repository only"


