id,claim,status,scope,branch,evidence,dies_if
V3-001,"Bulk 5D + 2 branes + stabilisateur GW : pas de ghost (T1)",DERIVED,"branche generique sigma0''(y_i)!=0 ; sans carte",EFT,"registres/R1_Z_NULL_KERNEL_CLOSURE.md ; R1_Z_STATIC_CLOSURE.md","secteur nul non vide"
V3-002,"Pas de tachyon (T2) ssi s_i sigma0''(y_i)/sigma0'(y_i) >= 0",DERIVED_CITED,"critere = Lesgourgues-Sorbo 2004 ; extension non monotone = nous",EFT,"registres/R1_T2_CLOSURE.md ; R11_T2_ANTERIORITE.md","violation a une brane"
V3-003,"Identite d'energie reguliere m^2||X||^2 = 1/2 int e^{4A} G^2 + bord",DERIVED,"methode ; precedent tensoriel Mukohyama-Kofman",EFT,"paperA/verify_identity.py (5 controles OK)","residu non nul"
V3-004,"Extension du critere au warp non monotone",DERIVED,"SEULE contribution de domaine (LS excluent U+=U-)",EFT,"registres/R11_T2_ANTERIORITE.md","antériorite trouvee"
V3-005,"alpha_r = 1/3 (n=1)",ESTABLISHED,"Adelberger et al. hep-ph/0611223",EFT,"registres/R11_ALPHA_ET_NUL.md","-"
V3-006,"Le micron est tue en v1 par m_r/m_KK <= 0.07 (lambda_r >= 4.4 L), pas par la geometrie",DERIVED,"constitution v1, betaL<0.143",EFT,"voieI/TEST_3_VOIES_MICRON.md","-"
V3-007,"Branche forte betaL in [0.4,0.9] : fond existe, carte OK, T2 vert, backreaction 3-11%",DERIVED_NUMERICAL,"nouveau modele R9, x=2",EFT-strong,"voieI/mr_spectral.py","tir sans solution ; sigma0'=0 ; T2 viole"
V3-008,"m_r spectral > moduli de +21..+41% ; lambda_r = 19-38 um a R*=8.2 um pour betaL >= 0.4",DERIVED_NUMERICAL,"controles : zero-mode spurieux 1e-10 ; accord moduli petit betaL +0.3/+1.0/+2.1%",EFT-strong,"voieI/VOIE_I_SPECTRAL.md","echec d'un controle"
V3-009,"R micronique depuis Lambda",ESTABLISHED,"Montero-Vafa-Valenzuela 2205.12293",all,"registres/R11_REGISTRE.csv","-"
V3-010,"Carte d'exclusion (alpha_r,lambda_r)+(8/3,R) et no-go du micron en v1",DERIVED_CONDITIONAL,"conditionnel digitisation officielle alpha95 (X-6b)",EFT,"paperB/","digitisation deplace la frontiere"
V3-011,"EFT de la branche forte a sigma0 ~ M5^{3/2}",OPEN,"porte, pas kill ; argument DFGK a produire",EFT-strong,"-","argument impossible => retour voie III"
V3-012,"c_alpha(betaL) a stabilisation forte",OPEN,"O(10%)",EFT-strong,"-","-"
V3-013,"Rez-de-chaussee condense (kelvons -> RAR), non radionique",DERIVED_PARTIAL,"RAR 0.1451 dex ; binaires larges Paper I ; U-1,C-5 OPEN ; drip POSITED",DM,"registres/MECHANISM_EXCLUSION_MAP.md","6 signatures letales CDD I"
V3-014,"Etages superieurs de Phi = CDM par misalignment",OPEN,"relique jamais calculee au R valide",DM,"registres/MECHANISM_EXCLUSION_MAP.md","abondance hors fenetre"
V3-015,"DDF explique l'energie sombre",FALSE,"E1 Casimir tue (A6) ; Lambda = entree (MVV)",DE,"registres/MECHANISM_EXCLUSION_MAP.md","-"
V3-016,"R = 8.2 um est une prediction",FALSE,"R herite de Lambda, VALIDE par ses juges, jamais derive",all,"CONSTITUTION_v3.md","-"
V3-017,"Radion comme matiere noire",FALSE,"signature seulement",DM,"registres/MECHANISM_EXCLUSION_MAP.md","-"
V3-018,"LHCb #109/#110 confirme la 5D",FALSE,"borne sur g_5 cote quark b = test partiel de U-1",collider,"registres/ASSEMBLY.md","-"
