id,claim,status,scope,branch,evidence,dies_if
V3-001,Bulk 5D + 2 branes + stabilisateur GW : pas de ghost (T1),DERIVED,branche generique sigma0''(y_i)!=0 ; sans carte,EFT,registres/R1_Z_NULL_KERNEL_CLOSURE.md ; R1_Z_STATIC_CLOSURE.md,secteur nul non vide
V3-002,Pas de tachyon (T2) ssi s_i sigma0''(y_i)/sigma0'(y_i) >= 0,DERIVED_CITED,critere = Lesgourgues-Sorbo 2004 ; extension non monotone = nous,EFT,registres/R1_T2_CLOSURE.md ; R11_T2_ANTERIORITE.md,violation a une brane
V3-003,Identite d'energie reguliere m^2||X||^2 = 1/2 int e^{4A} G^2 + bord,DERIVED,methode ; precedent tensoriel Mukohyama-Kofman,EFT,paperA/verify_identity.py (5 controles OK),residu non nul
V3-004,Extension du critere au warp non monotone,SUPERSEDED,specialisation d'Olechowski NPB 1011 (2025) 116807 ; etude de cas (06/09),EFT,registres/R11_T2_ANTERIORITE.md,antériorite trouvee
V3-005,alpha_r = 1/3 (n=1),ESTABLISHED,Adelberger et al. hep-ph/0611223,EFT,registres/R11_ALPHA_ET_NUL.md,-
V3-006,"Le micron est tue en v1 par m_r/m_KK <= 0.07 (lambda_r >= 4.4 L), pas par la geometrie",DERIVED,"constitution v1, betaL<0.143",EFT,voieI/TEST_3_VOIES_MICRON.md,-
V3-007,"Branche forte betaL in [0.4,0.9] : fond existe, carte OK, T2 vert, backreaction 3-11%",DERIVED_NUMERICAL,"nouveau modele R9, x=2",EFT-strong,voieI/mr_spectral.py,tir sans solution ; sigma0'=0 ; T2 viole
V3-008,m_r spectral > moduli de +21..+41% ; lambda_r = 19-38 um a R*=8.2 um pour betaL >= 0.4,DERIVED_NUMERICAL,controles : zero-mode spurieux 1e-10 ; accord moduli petit betaL +0.3/+1.0/+2.1%,EFT-strong,voieI/VOIE_I_SPECTRAL.md,echec d'un controle
V3-009,R micronique depuis Lambda,ESTABLISHED,Montero-Vafa-Valenzuela 2205.12293,all,registres/R11_REGISTRE.csv,-
V3-010,"Carte d'exclusion (alpha_r,lambda_r)+(8/3,R) et no-go du micron en v1",DERIVED_CONDITIONAL,conditionnel digitisation officielle alpha95 (X-6b),EFT,paperB/,digitisation deplace la frontiere
V3-011,EFT de la branche forte a sigma0 ~ M5^{3/2},DROPPED,"8.2 um abandonne (06/09) ; regime modere eps~0.3, aucune porte EFT",EFT-strong,-,argument impossible => retour voie III
V3-012,c_alpha(betaL) a stabilisation forte,RESOLVED,"c_alpha(x)=sech^2(x/2)[1+tanh^2(x/2)+2tanh(x/2)/x], +0.9834 a x=2 (DDF-Stabilized-5D-Radion, KMP+FEM) ; -0.634 SUPERSEDED",EFT-strong,-,-
V3-013,"Rez-de-chaussee condense (kelvons -> RAR), non radionique",DERIVED_PARTIAL,"RAR 0.1451 dex ; binaires larges Paper I ; U-1,C-5 OPEN ; drip POSITED",DM,registres/MECHANISM_EXCLUSION_MAP.md,6 signatures letales CDD I
V3-014,Etages superieurs de Phi = CDM par misalignment,OPEN,relique jamais calculee au R valide,DM,registres/MECHANISM_EXCLUSION_MAP.md,abondance hors fenetre
V3-015,DDF explique l'energie sombre,FALSE,E1 Casimir tue (A6) ; Lambda = entree (MVV),DE,registres/MECHANISM_EXCLUSION_MAP.md,-
V3-016,R = 8.2 um est une prediction,FALSE,"R herite de Lambda, VALIDE par ses juges, jamais derive",all,CONSTITUTION_v3.md,-
V3-017,Radion comme matiere noire,FALSE,signature seulement,DM,registres/MECHANISM_EXCLUSION_MAP.md,-
V3-018,LHCb #109/#110 confirme la 5D,FALSE,borne sur g_5 cote quark b = test partiel de U-1,collider,registres/ASSEMBLY.md,-
V3-019,"R = 8.2 um abandonne ; cible R in [1,5] um, eps~0.3 ; porte EFT tombee",DECISION,06/09/2026,all,programme_v2/DECISION_8.2_ABANDONNE.md,-
V3-020,Potentiels de brane quadratiques : pas le levier du radion (+24% max en limite raide),DERIVED_NUMERICAL,"x=2, eps 0.3/0.53",EFT,programme_v2/ETAPE1_FOND_ET_STABILITE.md,-
V3-021,"Branche monotone : tension SM positive, backreaction 40-64%, existence etroite, alpha_r decroit avec le warp",DERIVED_NUMERICAL,eps=0.3,EFT,programme_v2/ETAPE1_FOND_ET_STABILITE.md,-
V3-022,"Secteur Phi quasi plat a eps=0.3 ; drip CALCULE : 2->2 lam_nn00~1, 1->3 nul n impair et ~warp n pair (lam_2000~-1e-2)",DERIVED_NUMERICAL,Neumann,DM,programme_v2/ETAPE3a_SECTEUR_PHI.md,-
V3-023,Etages superieurs = CDM par misalignment realisable (Phi5/M5^{3/2} <= 0.06) ; phase quartique coute 3-5 ordres sur phi_i,DERIVED_ESTIMATE,facteur 3 ; T_reheat >= T_osc,DM,programme_v2/ETAPE3bcd_ECHELLES_RELIQUE_CONDENSAT.md,abondance hors fenetre ; bas rechauffage
V3-024,Rez-de-chaussee condense aux densites galactiques pour m_Phi <~ 30 eV ; EOS GP P = g4 rho^2/8m^4,DERIVED,-,DM,programme_v2/ETAPE3bcd_ECHELLES_RELIQUE_CONDENSAT.md,-
V3-025,Route phonons->MOND fermee pour |Phi|^4 (BK exigent P~rho^3) ; rouverte par un sextique (P~n^3 <=> X^{3/2}),DERIVED,-,DM,programme_v2/ETAPE4_KELVONS_VERDICT.md,-
V3-026,"Mecanisme kelvonique (tangle de vortex -> X^{3/2}) MORT : l_v < guerison, v~c, tau~ps, puissance 1e20-1e29 rho_DM H0, reseau de rotation 1e15x trop lache",FALSE,4 comptes independants,DM,programme_v2/ETAPE4_KELVONS_VERDICT.md,-
V3-027,"Le milieu de CDD I (X^{3/2}, w=1/2, p=3/2, a0=alpha^3 Lam^2/M_Pl) = superfluide de Berezhiani-Khoury",ESTABLISHED,"cite, jamais revendique",DM,programme_v2/ETAPE4_KELVONS_VERDICT.md,-
V3-028,BK en 5D : rho_s(r) = (2 m^2 M_Pl/alpha) a_phi(r) imposee par l'EOM du phonon ; Paper I => m_Phi <~ 0.25 eV (alpha=1),DERIVED,conditionnel au couplage de BK,DM,programme_v2/ETAPE4prime_BK_EN_5D.md,-
V3-029,NO-GO : aucun vertex de brane local d'un champ charge U(1)_D ne produit le couplage theta rho_b de BK (moyenne nulle ; densite -> contact ; courant -> conservation),DERIVED,ordre dominant en 1/m ; coherent avec BK 1810.09474 et Mistele 1909.05710 ; R11 a finir,DM,programme_v2/PORTE3prime_COUPLAGE_VERDICT.md,un vertex non local ou une phase non compacte
V3-030,"POSITION (D) : la theorie n'explique pas la RAR ; principes 1, 2, 3a, 3b vivants, 3c mort dans ses deux formes",DECISION,06/09/2026,all,programme_v2/ETAT_DE_LA_THEORIE_v2.md,-
V3-031,Prediction sous (D) pour Gaia DR4 : aucun boost dans les binaires larges (comme LCDM),DERIVED,"le protocole discrimine les mediateurs MOND-like, pas DDF v2 de LCDM",obs,programme_v2/ETAT_DE_LA_THEORIE_v2.md,-
V3-032,paperA/paperA.tex et paperB/paperB.tex sont des brouillons historiques supersedes par le manuscrit de HBoufourou/DDF-Stabilized-5D-Radion ; prefacteur corrige M5^3 R/2,DECISION,reconciliation R12 06/09/2026,all,README.md,-
