source_ancienne,id_ancien,revendication_ancienne,statut_ancien_litteral,portee_ancienne,preuve_ancienne_litterale,traitement,ids_actifs_pertinents,nature_correspondance,statuts_actifs_pour_information,preuves_actives_relatives_au_depot,lecture_corrigee_et_limites,controle_complementaire
source/ddfr/registre_revendications.json,DDFU-001,Noyau géométrique R63 conservé,CONDITIONNEL,Hypothèses R63 ; aucune longueur physique sélectionnée,audits/AUDIT_GEOMETRIE.md,historique,AUCUN,aucune revendication active équivalente,,,Géométrie R63 conservée en archive ; ni métrique physique ni paramètres 5D obtenus. Programme géométrique distinct du noyau.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-002,U(2) et II18 rationnel,CONDITIONNEL,Généricité effective A3 ouverte,noyau/GEOMETRIE.md,historique,AUCUN,aucune revendication active équivalente,,,"U(2), II18 rationnel et généricité A3 : assertions géométriques historiques, non incorporées comme preuves de la compactification physique.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-003,Obstruction R64,PORTEE_LIMITEE,Mécanisme propre actif fermé C4 seulement,noyau/GEOMETRIE.md,historique,AUCUN,aucune revendication active équivalente,,,Obstruction R64 conservée dans son ancien périmètre C4 ; ne pas en faire un no-go de tout raccord DDF.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-004,Pilote R65,CONTROLES_CONNUS,Pas une métrique DDF calculée,audits/AUDIT_GEOMETRIE.md,historique,AUCUN,aucune revendication active équivalente,,,R65 est un pilote sur contrôles connus ; il ne calcule pas la métrique DDF. Aucun résultat spectral du noyau ne prouve ce raccord.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-005,Fonds et masses scalaires à x=2,RECALCULE_CONDITIONNEL,"Famille à paramètres reconstruits; références x=2 et extension à x=1,3 dans resultats/extension_x.json; couverture numérique finie",resultats/spectre_5d.json,corrigé,F03,spécialisation et contrôles distincts,F03:CALCULE_ET_CONTROLE,noyau/stabilisation/quadratic_fem.json,Les anciens points affines gardent leur provenance ; F03 traite le fond reconstruit et les bords quadratiques aux points enregistrés. Aucun scan exhaustif ou action fixe implicite.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-006,Coefficient faible amplitude c_alpha=+0.98342023984,DERIVE_CONDITIONNEL,"Action M5³/2, x=2, source minimale et aucun terme cinétique de brane",noyau/DERIVATION_COUPLAGE.md,conservé,S01,contrôle affine conservé,S01:DERIVE_A_FAIBLE_RETROACTION_AFFINE,noyau/relations_spectrales/PRINCIPES_DDF_RECUPERABLES.md,Coefficient +0.98342023984 à x=2 conservé comme limite affine à faible rétroaction ; pas coefficient universel à raideur finie.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-007,Couplages scalaires et premier tensoriel massif,RECALCULE_CONDITIONNEL,Profils normalisés aux points numériques enregistrés,resultats/spectre_5d.json,corrigé,F03;S01,reprise partielle et références affines,F03:CALCULE_ET_CONTROLE; S01:DERIVE_A_FAIBLE_RETROACTION_AFFINE,noyau/stabilisation/quadratic_fem.json; noyau/relations_spectrales/PRINCIPES_DDF_RECUPERABLES.md,"Normes et résidus conservés selon leur action et leurs profils ; F03 porte sur trois modes scalaires quadratiques, S01 sur relations et références affines. Ne pas attribuer une tour tensorielle complète à F03.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-008,Rayon 8.2 µm indépendant,NON_DERIVE,Valeur de conversion choisie,noyau/EFT_MODELE_ET_RESULTATS.md,conservé,R01,constat négatif conservé,R01:NON_PREDITE,noyau/stabilisation/R_DERIVATION_ET_TESTS.md,"8.2 micromètres est une conversion choisie, pas une longueur déterminée indépendamment.",THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-009,Minimum historique à 8.34 µm,NON_REPRODUIT,Script annoncé sans minimisation correspondante,audits/AUDIT_I_VIII.md,historique,R01;R02,"limite active, pas reproduction du minimum ancien",R01:NON_PREDITE; R02:NON_IDENTIFIABLE_DANS_EFT_DECLAREE,noyau/stabilisation/R_DERIVATION_ET_TESTS.md; noyau/stabilisation/r_fixed_action_checks.json,Le minimum historique 8.34 micromètres demeure non reproduit ; les nouveaux calculs de sélection à action fixée ne le valident pas.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
source/ddfr/registre_revendications.json,DDFU-010,Exclusion ou validation expérimentale du micron,NON_ETABLI,Réponse expérimentale et scan à reconstruire,DEVELOPPEMENT.md,conservé,E01,constat non établi conservé,E01:NON_CALCULEE,ETAT_SCIENTIFIQUE.md,Aucune validation ou exclusion expérimentale de la plage micrométrique sans réponse expérimentale et analyse statistique.,THEORIE_DDF.md et preuves des IDs actifs ; historiques pour absence d’équivalent
