id,source,affirmation_recue,statut_corrige,correction_et_condition
UV-01,received/AXES_DE_DEVELOPPEMENT.md axe3,Deux O8 négatifs donnent exactement les deux tensions négatives DDF,CONTREDIT_DANS_LE_RACCORD_NAIF,Après tadpoles et D8 exclusivement aux extrémités les tensions nettes ont signes opposés ou sont nulles; sources intérieures changent le modèle
UV-02,received/AXES_DE_DEVELOPPEMENT.md axe3,La tension O8 fournit les potentiels quadratiques de bord,NON_DERIVE_ET_OBSTRUCTION_LOCALE,Une seule exponentielle négative a U_seconde<=0 dans la direction canonique affine; DDF exige U_seconde=2lambda>0
UV-03,received/AXES_DE_DEVELOPPEMENT.md axe3,T-folds 2411.19216 réalisent le radion DDF stabilisé,MAUVAISE_IDENTIFICATION,Le papier possède une base S1 et exige un radion Scherk-Schwarz non stabilisé; pas nos frontières ni nos potentiels
UV-04,received/AXES_DE_DEVELOPPEMENT.md axe3,Le col Tyurin est notre intervalle avec sigma égal au module de longueur,CONDITIONNEL_ET_RISQUE_DOUBLAGE,Calculer conditions effectives des extrémités et distinguer le radion 4D du stabilisateur 5D indépendant
UV-05,received/AXES_DE_DEVELOPPEMENT.md axe1,La conjecture de distance établit m_sigma~mKK et x=2 générique,HYPOTHESE_SUPPLEMENTAIRE,La conjecture contraint une tour asymptotique pas le Hessien du stabilisateur; x=2 reste un point de référence choisi
UV-06,received/AXES_DE_DEVELOPPEMENT.md axe1,La formule artanh à q donné sélectionne exactement R,DEPASSE_PAR_LE_CALCUL_CONTROLE,Le solveur exact garde mu lambda v Lambda5 M5 fixes et trouve q ainsi que L; tau doit être compatible
UV-07,received/AXES_DE_DEVELOPPEMENT.md axe1,La chaîne Lambda vers mKK vers mu vers R fournit une échelle indépendante,NON_DERIVE,Le verrou mu/mKK est libre; utiliser mKK défini par R pour fixer mu puis R est circulaire
UV-08,received/AXES_DE_DEVELOPPEMENT.md axe2,Un déplacement homogène en y peuple uniquement le zéro-mode Neumann,FAUX_EN_GENERAL,Le mode constant est exact pour masse Phi nulle et Neumann homogène; le mode fondamental massif déformé ne l'est pas et les interactions peuvent peupler la tour
UV-09,received/AXES_DE_DEVELOPPEMENT.md axe2,Paper I impose une fraction condensée locale inférieure à trois pour cent,NON_ETABLI,La traduction du boost des binaires en fraction condensée requiert un modèle de couplage et environnement
UV-10,EFT_v3/programme_v2/ETAT_DE_LA_THEORIE_v2.md T3-T6,Tour froide drip calculé superfluide mince et deux Yukawas établis,DEPASSE_PAR_AUDIT_ACTIF,Les spectres et recouvrements sont calculés; les taux la production cosmologique la condensation et le portail baryonique exigent leurs actions et calculs
UV-11,received/AXES_DE_DEVELOPPEMENT.md axe2,Khoury est la seule route compatible et exige toute la DM superfluide,GENERALISATION_NON_DEMONTREE,Une extension gravitationnelle conditionnelle est construite; la densité sombre source aussi la gravité et le halo complet reste à fermer
UV-12,EFT_v3/programme_v2/ETAT_DE_LA_THEORIE_v2.md T7,Aucun vertex local de brane ne peut produire une interaction collective baryonique,NO_GO_TROP_LARGE,Conserver seulement les obstructions définies; les arguments de moyenne nulle contact et conservation ne démontrent pas cette interdiction générale
UV-13,EFT_v3/README.md et registres/STATUS.json,Les statuts Derived ou Green des versions internes font foi pour la fusion,REGISTRES_A_RECONCILIER,Statuts historiques conservés comme provenance; état actif déterminé par l'action actuelle et ses contrôles explicites
UV-14,received/AXES_DE_DEVELOPPEMENT.md axe3,M5 est prédit en le nommant échelle des espèces,NON_DERIVE,Calculer volume transverse couplage et normalisation EH; M5 inféré d'un R choisi n'est pas une contrainte indépendante
UV-15,Nouveau résultat UV,Les tensions totales sont des données de bord arbitrairement remplaçables,CONTRAINTE_EXACTE,U0+UL=-integrale_sigma_prime_carre et -(U0+UL)>=(Delta_sigma)^2/L dans le modèle lisse de Minkowski
